codigo_ibge,nome,latitude,longitude,capital,codigo_uf,ddd
3127339,Gameleiras,-14.971032786684384,-43.25968059674194,False,31,38
2911204,Gandu,-13.788697360553977,-39.482691969938394,False,29,73
2606002,Garanhuns,-8.92898037914211,-36.50109818602358,False,26,87
2802403,Gararu,-10.027897035107689,-37.204308967788435,False,28,79
3516705,Garça,-22.23104199878997,-49.68963545857775,False,35,14
4308607,Garibaldi,-29.240826428579144,-51.58225641690602,False,43,54
4205704,Garopaba,-28.04673393172065,-48.658935782879894,False,42,48
1503077,Garrafão do Norte,-2.168305800803363,-47.07597678467642,False,15,91
4308656,Garruchos,-28.233826651349528,-55.53864233881104,False,43,55
4205803,Garuva,-26.057111676835685,-48.867327668402794,False,42,47
4205902,Gaspar,-26.931346185099965,-48.96602949542612,False,42,47
3516804,Gastão Vidigal,-20.804286575127378,-50.20278289377925,False,35,17
5103858,Gaúcha do Norte,-12.995961584796975,-53.456176973310825,False,51,66
4308706,Gaurama,-27.598695802394904,-52.115515861861866,False,43,54
2911253,Gavião,-11.508884113606442,-39.75733960583803,False,29,75
3516853,Gavião Peixoto,-21.79160367524423,-48.44793038509567,False,35,16
2204352,Geminiano,-7.187692198557046,-41.33289281832872,False,22,89
4308805,General Câmara,-29.8653670737934,-51.91629448272352,False,43,51
5103908,General Carneiro,-15.520137719477297,-53.34280146335917,False,51,66
4108502,General Carneiro,-26.472605737992982,-51.391935386000014,False,41,42
2802502,General Maynard,-10.693028391607216,-36.97108197517174,False,28,79
3516903,General Salgado,-20.638273005534224,-50.41577183728799,False,35,17
2304608,General Sampaio,-4.063921095026787,-39.451117896286426,False,23,85
4308854,Gentil,-28.386202591437875,-52.03957883638934,False,43,54
2911303,Gentio do Ouro,-11.410247522559757,-42.60520848034152,False,29,74
3517000,Getulina,-21.78327630004663,-50.027915700893274,False,35,14
4308904,Getúlio Vargas,-27.852108033320427,-52.18054156905375,False,43,54
2204402,Gilbués,-9.621890019654167,-45.40777559364229,False,22,89
2702900,Girau do Ponciano,-9.792702543620042,-36.85054299635795,False,27,82
4309001,Giruá,-28.029890513287807,-54.29877094979787,False,43,55
3127354,Glaucilândia,-16.903862506949757,-43.639274903098645,False,31,38
3517109,Glicério,-21.3402605529817,-50.19888086196351,False,35,18
2911402,Glória,-9.2293658294081,-38.44476151602394,False,29,75
5103957,Glória D'Oeste,-15.83919655541287,-58.3252925613276,False,51,65
5004007,Glória de Dourados,-22.427294606062688,-54.1924131270795,False,50,67
2606101,Glória do Goitá,-8.012755201873004,-35.338293859851845,False,26,81
4309050,Glorinha,-29.886459894348878,-50.7706813444453,False,43,51
2104305,Godofredo Viana,-1.3707785438653963,-45.76305470656018,False,21,98
4108551,Godoy Moreira,-24.160309194222883,-51.90799448047694,False,41,43
3127370,Goiabeira,-19.02193789552728,-41.236066385165614,False,31,33
3127388,Goianá,-21.555547501336072,-43.189279828896034,False,31,32
2606200,Goiana,-7.5968757625692325,-34.942495151127055,False,26,81
5208400,Goianápolis,-16.515008710531003,-49.06602267597975,False,52,62
5208509,Goiandira,-18.123110289309196,-48.13890307802504,False,52,64
5208608,Goianésia,-15.27509648932858,-49.16644819194716,False,52,62
1503093,Goianésia do Pará,-4.027193127249472,-49.005718498747925,False,15,94
5208707,Goiânia,-16.643550882941668,-49.27378453122226,True,52,62
2404200,Goianinha,-6.28782886228322,-35.21383818717614,False,24,84
5208806,Goianira,-16.500280038381867,-49.428597166402426,False,52,62
1708304,Goianorte,-8.87320396725722,-49.01119427422692,False,17,63
5208905,Goiás,-15.847096202447842,-50.24257190780896,False,52,62
1709005,Goiatins,-8.094161089536845,-47.4815344549784,False,17,63
5209101,Goiatuba,-17.993652012551426,-49.658799019189004,False,52,64
4108601,Goioerê,-24.172619381454453,-53.052044883757276,False,41,44
4108650,Goioxim,-25.1299337063852,-51.994559037486646,False,41,42
3127404,Gonçalves,-22.67302826245591,-45.82493666547664,False,31,35
2104404,Gonçalves Dias,-5.1522553484336395,-44.1720009781723,False,21,99
2911501,Gongogi,-14.280589207160611,-39.581899853754955,False,29,73
3127503,Gonzaga,-18.873870616570883,-42.505095020973904,False,31,33
3127602,Gouveia,-18.52352325725452,-43.83349413169587,False,31,38
5209150,Gouvelândia,-18.509182539692258,-50.15576061361836,False,52,64
2104503,Governador Archer,-4.9994977090736965,-44.22150232971485,False,21,99
4206009,Governador Celso Ramos,-27.376616496309563,-48.57722959210759,False,42,48
2404309,Governador Dix-Sept Rosado,-5.393979171886437,-37.53530486818513,False,24,84
2104552,Governador Edison Lobão,-5.718470368451464,-47.32477452590848,False,21,99
2104602,Governador Eugênio Barros,-5.366783255058006,-44.095934545291044,False,21,99
1101005,Governador Jorge Teixeira,-10.748029350488688,-63.18401213934423,False,11,69
3202256,Governador Lindenberg,-19.205368275385524,-40.50001599683102,False,32,27
2104628,Governador Luiz Rocha,-5.528300653328757,-44.09022451495997,False,21,99
2911600,Governador Mangabeira,-12.583362893501233,-39.072351354889385,False,29,75
2104651,Governador Newton Bello,-3.4190992180115973,-45.9258915584467,False,21,98
2104677,Governador Nunes Freire,-2.0623475803710427,-45.82115380135342,False,21,98
3127701,Governador Valadares,-18.78342576285877,-41.96355369378648,False,31,33
2304657,Graça,-4.045702136256187,-40.77399388770086,False,23,88
2104701,Graça Aranha,-5.414802424551421,-44.318119713376284,False,21,99
2802601,Gracho Cardoso,-10.222466202005942,-37.21929223847986,False,28,79
2104800,Grajaú,-5.840227457750067,-46.014944756719984,False,21,99
4309100,Gramado,-29.38604695710075,-50.89686595616746,False,43,54
4309126,Gramado dos Loureiros,-27.445687338927524,-52.914915703317746,False,43,54
4309159,Gramado Xavier,-29.288811639850536,-52.60059650237094,False,43,51
4108700,Grandes Rios,-24.190447222329457,-51.44763483594737,False,41,43
2606309,Granito,-7.788463624451764,-39.694337512965774,False,26,87
2304707,Granja,-3.2306096054383646,-41.00170419851504,False,23,88
2304806,Granjeiro,-6.911689222231631,-39.25218338547342,False,23,88
3127800,Grão Mogol,-16.46390251383892,-42.99400416971906,False,31,38
4206108,Grão Pará,-28.155035478409093,-49.31402214963111,False,42,48
2606408,Gravatá,-8.199401598147459,-35.56361797205491,False,26,81
4309209,Gravataí,-29.88947291099453,-50.94704648616559,False,43,51
4206207,Gravatal,-28.354019532161377,-49.019524083285035,False,42,48
2304905,Groaíras,-3.912350770755558,-40.36530750262041,False,23,88
2404408,Grossos,-4.947555001923333,-37.210470150724426,False,24,84
3127909,Grupiara,-18.48813237740242,-47.76039946843141,False,31,34
4309258,Guabiju,-28.577607457446167,-51.65978958651939,False,43,54
4206306,Guabiruba,-27.103337762664324,-49.020750454571136,False,42,47
3202306,Guaçuí,-20.763420810723684,-41.70522868715446,False,32,28
2204501,Guadalupe,-6.842379713341892,-43.70468739660302,False,22,89
4309308,Guaíba,-30.177271836523442,-51.4337207809377,False,43,51
3517208,Guaiçara,-21.5695027016712,-49.76275075084946,False,35,14
3517307,Guaimbê,-21.8785050661403,-49.86064113410342,False,35,14
3517406,Guaíra,-20.314037481289564,-48.36413710923969,False,35,17
4108809,Guaíra,-24.190571870034802,-54.23119942295457,False,41,44
4108908,Guairaçá,-22.922864855169543,-52.74009868350999,False,41,44
2304954,Guaiúba,-4.1022532439946255,-38.669849690563254,False,23,85
1301654,Guajará,-7.2297809288146215,-72.84458794609539,False,13,97
1100106,Guajará-Mirim,-11.305636318007036,-64.53755690253917,False,11,69
2911659,Guajeru,-14.55896942377806,-41.986432117918866,False,29,77
2404507,Guamaré,-5.174761286531924,-36.34394908829196,False,24,84
4108957,Guamiranga,-25.170684174936905,-50.83968209589205,False,41,42
2911709,Guanambi,-14.203956852800578,-42.820035934513804,False,29,77
3128006,Guanhães,-18.833671006318802,-42.85318248349856,False,31,33
